name,country
Maruti Suzuki,India
Hyundai,South Korea
Tata,India
Mahindra,India
Toyota,Japan
Honda,Japan
Kia,South Korea
MG,United Kingdom
Renault,France
Nissan,Japan
Skoda,Czech Republic
Volkswagen,Germany
Ford,United States
Chevrolet,United States
Fiat,Italy
Jeep,United States
Citroen,France
BYD,China
Isuzu,Japan
Force Motors,India
BMW,Germany
Mercedes-Benz,Germany
Audi,Germany
Volvo,Sweden
Lexus,Japan
Mini,United Kingdom
Jaguar,United Kingdom
Land Rover,United Kingdom
Porsche,Germany
Tesla,United States
