brand,name,bodyType,seatingCapacity
Maruti Suzuki,800,HATCHBACK,4
Maruti Suzuki,Alto,HATCHBACK,5
Maruti Suzuki,Alto K10,HATCHBACK,5
Maruti Suzuki,A-Star,HATCHBACK,5
Maruti Suzuki,Celerio,HATCHBACK,5
Maruti Suzuki,Celerio X,HATCHBACK,5
Maruti Suzuki,S-Presso,HATCHBACK,5
Maruti Suzuki,WagonR,HATCHBACK,5
Maruti Suzuki,Zen,HATCHBACK,5
Maruti Suzuki,Zen Estilo,HATCHBACK,5
Maruti Suzuki,Ritz,HATCHBACK,5
Maruti Suzuki,Swift,HATCHBACK,5
Maruti Suzuki,Baleno,HATCHBACK,5
Maruti Suzuki,Fronx,CROSSOVER,5
Maruti Suzuki,Ignis,HATCHBACK,5
Maruti Suzuki,Dzire,SEDAN,5
Maruti Suzuki,Ciaz,SEDAN,5
Maruti Suzuki,Esteem,SEDAN,5
Maruti Suzuki,Kizashi,SEDAN,5
Maruti Suzuki,SX4,SEDAN,5
Maruti Suzuki,Brezza,SUV,5
Maruti Suzuki,Vitara Brezza,SUV,5
Maruti Suzuki,Grand Vitara,SUV,5
Maruti Suzuki,Gypsy,SUV,4
Maruti Suzuki,Jimny,SUV,4
Maruti Suzuki,Ertiga,MPV,7
Maruti Suzuki,XL6,MPV,6
Maruti Suzuki,Invicto,MPV,7
Maruti Suzuki,Eeco,VAN,5
Maruti Suzuki,Eeco Cargo,VAN,2
Maruti Suzuki,Omni,VAN,8
Maruti Suzuki,Versa,VAN,7
Hyundai,Santro,HATCHBACK,5
Hyundai,Santro Xing,HATCHBACK,5
Hyundai,Eon,HATCHBACK,5
Hyundai,i10,HATCHBACK,5
Hyundai,Grand i10,HATCHBACK,5
Hyundai,Grand i10 Nios,HATCHBACK,5
Hyundai,i20,HATCHBACK,5
Hyundai,Elite i20,HATCHBACK,5
Hyundai,i20 Active,CROSSOVER,5
Hyundai,i20 N Line,HATCHBACK,5
Hyundai,Getz,HATCHBACK,5
Hyundai,Accent,SEDAN,5
Hyundai,Verna,SEDAN,5
Hyundai,Aura,SEDAN,5
Hyundai,Xcent,SEDAN,5
Hyundai,Elantra,SEDAN,5
Hyundai,Sonata,SEDAN,5
Hyundai,Venue,SUV,5
Hyundai,Venue N Line,SUV,5
Hyundai,Creta,SUV,5
Hyundai,Creta N Line,SUV,5
Hyundai,Alcazar,SUV,7
Hyundai,Exter,SUV,5
Hyundai,Tucson,SUV,5
Hyundai,Santa Fe,SUV,7
Hyundai,Terracan,SUV,7
Hyundai,Kona Electric,SUV,5
Hyundai,Ioniq 5,SUV,5
Tata,Nano,HATCHBACK,4
Tata,Tiago,HATCHBACK,5
Tata,Tiago EV,HATCHBACK,5
Tata,Altroz,HATCHBACK,5
Tata,Altroz Racer,HATCHBACK,5
Tata,Indica,HATCHBACK,5
Tata,Indica V2,HATCHBACK,5
Tata,Indica Vista,HATCHBACK,5
Tata,Bolt,HATCHBACK,5
Tata,Zest,SEDAN,5
Tata,Tigor,SEDAN,5
Tata,Tigor EV,SEDAN,5
Tata,Indigo,SEDAN,5
Tata,Indigo CS,SEDAN,5
Tata,Manza,SEDAN,5
Tata,Punch,SUV,5
Tata,Punch EV,SUV,5
Tata,Nexon,SUV,5
Tata,Nexon EV,SUV,5
Tata,Harrier,SUV,5
Tata,Safari,SUV,7
Tata,Hexa,SUV,7
Tata,Sumo,SUV,7
Tata,Sumo Gold,SUV,7
Tata,Movus,MUV,7
Tata,Aria,MUV,7
Tata,Magic,VAN,8
Mahindra,Bolero,SUV,7
Mahindra,Bolero Neo,SUV,7
Mahindra,Bolero Camper,PICKUP,5
Mahindra,Scorpio,SUV,7
Mahindra,Scorpio Getaway,PICKUP,5
Mahindra,Scorpio Classic,SUV,7
Mahindra,Scorpio N,SUV,7
Mahindra,XUV300,SUV,5
Mahindra,XUV 3XO,SUV,5
Mahindra,XUV400 EV,SUV,5
Mahindra,XUV500,SUV,7
Mahindra,XUV700,SUV,7
Mahindra,Thar,SUV,4
Mahindra,Thar Roxx,SUV,5
Mahindra,Marazzo,MPV,8
Mahindra,KUV100,HATCHBACK,6
Mahindra,KUV100 NXT,HATCHBACK,6
Mahindra,TUV300,SUV,7
Mahindra,Quanto,SUV,7
Mahindra,NuvoSport,SUV,7
Mahindra,Verito,SEDAN,5
Mahindra,Verito Vibe,HATCHBACK,5
Mahindra,Logan,SEDAN,5
Mahindra,Alturas G4,SUV,7
Mahindra,Xylo,MPV,8
Mahindra,Imperio,PICKUP,5
Mahindra,Genio,PICKUP,5
Mahindra,Jeeto Mini Van,VAN,5
Mahindra,Supro Van,VAN,8
Mahindra,Supro Mini Van,VAN,8
Mahindra,eVerito,SEDAN,5
Toyota,Starlet,HATCHBACK,5
Toyota,Glanza,HATCHBACK,5
Toyota,Etios Liva,HATCHBACK,5
Toyota,Yaris,SEDAN,5
Toyota,Etios,SEDAN,5
Toyota,Corolla,SEDAN,5
Toyota,Corolla Altis,SEDAN,5
Toyota,Camry,SEDAN,5
Toyota,Prius,SEDAN,5
Toyota,Urban Cruiser,SUV,5
Toyota,Urban Cruiser Hyryder,SUV,5
Toyota,Raize,SUV,5
Toyota,Rush,SUV,7
Toyota,Fortuner,SUV,7
Toyota,Fortuner Legender,SUV,7
Toyota,Land Cruiser,SUV,7
Toyota,Land Cruiser Prado,SUV,7
Toyota,Hilux,PICKUP,5
Toyota,Innova,MPV,7
Toyota,Innova Crysta,MPV,7
Toyota,Innova Hycross,MPV,7
Toyota,Rumion,MPV,7
Toyota,Vellfire,MPV,7
Toyota,Qualis,MPV,8
Toyota,Commuter,VAN,12
Honda,Brio,HATCHBACK,5
Honda,Jazz,HATCHBACK,5
Honda,City,SEDAN,5
Honda,City Hybrid,SEDAN,5
Honda,Amaze,SEDAN,5
Honda,Civic,SEDAN,5
Honda,Accord,SEDAN,5
Honda,WR-V,SUV,5
Honda,Elevate,SUV,5
Honda,BR-V,SUV,7
Honda,CR-V,SUV,5
Honda,HR-V,SUV,5
Honda,Mobilio,MPV,7
Honda,Freed,MPV,7
Honda,Passport,SUV,5
Honda,Pilot,SUV,8
Honda,Odyssey,MPV,8
Honda,e,HATCHBACK,5
Kia,Sonet,SUV,5
Kia,Seltos,SUV,5
Kia,Carens,MPV,7
Kia,Carnival,MPV,7
Kia,Syros,SUV,5
Kia,EV6,SUV,5
Kia,EV9,SUV,7
Kia,Clavis,SUV,5
Kia,Rio,HATCHBACK,5
Kia,Rio Sedan,SEDAN,5
Kia,Ceed,HATCHBACK,5
Kia,Sportage,SUV,5
Kia,Sorento,SUV,7
Kia,Picanto,HATCHBACK,5
Kia,Stinger,SEDAN,5
MG,Hector,SUV,5
MG,Hector Plus,SUV,7
MG,Astor,SUV,5
MG,ZS EV,SUV,5
MG,Comet EV,HATCHBACK,4
MG,Gloster,SUV,7
MG,MG3,HATCHBACK,5
MG,MG4 EV,HATCHBACK,5
MG,MG5,SEDAN,5
MG,Marvel R,SUV,5
MG,HS,SUV,5
MG,RX8,SUV,7
Renault,Kwid,HATCHBACK,5
Renault,Pulse,HATCHBACK,5
Renault,Sandero,HATCHBACK,5
Renault,Clio,HATCHBACK,5
Renault,Megane,HATCHBACK,5
Renault,Fluence,SEDAN,5
Renault,Scala,SEDAN,5
Renault,Logan,SEDAN,5
Renault,Duster,SUV,5
Renault,Kiger,SUV,5
Renault,Captur,SUV,5
Renault,Koleos,SUV,5
Renault,Triber,MPV,7
Renault,Lodgy,MPV,7
Renault,Kangoo,VAN,5
Renault,Symbol,SEDAN,5
Renault,Talisman,SEDAN,5
Renault,Arkana,SUV,5
Nissan,Micra,HATCHBACK,5
Nissan,Micra Active,HATCHBACK,5
Nissan,Pixo,HATCHBACK,5
Nissan,March,HATCHBACK,5
Nissan,Sunny,SEDAN,5
Nissan,Teana,SEDAN,5
Nissan,Altima,SEDAN,5
Nissan,Maxima,SEDAN,5
Nissan,Magnite,SUV,5
Nissan,Kicks,SUV,5
Nissan,X-Trail,SUV,7
Nissan,Patrol,SUV,8
Nissan,Terrano,SUV,5
Nissan,Juke,SUV,5
Nissan,Qashqai,SUV,5
Nissan,Murano,SUV,5
Nissan,Leaf,HATCHBACK,5
Nissan,Evalia,MPV,7
Nissan,NV200,VAN,7
Nissan,GT-R,COUPE,4
Skoda,Fabia,HATCHBACK,5
Skoda,Rapid,SEDAN,5
Skoda,Slavia,SEDAN,5
Skoda,Laura,SEDAN,5
Skoda,Octavia,SEDAN,5
Skoda,Superb,SEDAN,5
Skoda,Kylaq,SUV,5
Skoda,Kushaq,SUV,5
Skoda,Yeti,SUV,5
Skoda,Karoq,SUV,5
Skoda,Kodiaq,SUV,7
Skoda,Enyaq iV,SUV,5
Skoda,Roomster,MPV,5
Skoda,Scala,HATCHBACK,5
Skoda,Citigo,HATCHBACK,5
Skoda,Felicia,HATCHBACK,5
Skoda,Vision IN,SUV,5
Volkswagen,Polo,HATCHBACK,5
Volkswagen,Beetle,HATCHBACK,4
Volkswagen,Golf,HATCHBACK,5
Volkswagen,up!,HATCHBACK,4
Volkswagen,Vento,SEDAN,5
Volkswagen,Virtus,SEDAN,5
Volkswagen,Jetta,SEDAN,5
Volkswagen,Passat,SEDAN,5
Volkswagen,Arteon,SEDAN,5
Volkswagen,Ameo,SEDAN,5
Volkswagen,Taigun,SUV,5
Volkswagen,T-Cross,SUV,5
Volkswagen,Tiguan,SUV,5
Volkswagen,Tiguan Allspace,SUV,7
Volkswagen,Touareg,SUV,5
Volkswagen,ID.4,SUV,5
Volkswagen,ID.6,SUV,7
Volkswagen,Touran,MPV,7
Volkswagen,Sharan,MPV,7
Volkswagen,Caddy,VAN,7
