brand,model,variant,fuel,transmission,engineCc,hp,torque,launchYear,discontinuedYear,serviceKm,serviceMonths

Maruti Suzuki,800,Std,PETROL,MANUAL,796,37,59,1983,2000,10000,12
Maruti Suzuki,800,AC,PETROL,MANUAL,796,37,59,1993,2000,10000,12
Maruti Suzuki,800,DX,PETROL,MANUAL,796,37,59,1997,2000,10000,12
Maruti Suzuki,800,Std BSIII,PETROL,MANUAL,796,37,59,2000,2010,10000,12
Maruti Suzuki,800,AC BSIII,PETROL,MANUAL,796,37,59,2000,2010,10000,12
Maruti Suzuki,800,Uniq,PETROL,MANUAL,796,37,59,2006,2010,10000,12

Maruti Suzuki,Alto,Std,PETROL,MANUAL,796,47,62,2000,2012,10000,12
Maruti Suzuki,Alto,LX,PETROL,MANUAL,796,47,62,2000,2012,10000,12
Maruti Suzuki,Alto,LXi,PETROL,MANUAL,796,47,62,2000,2012,10000,12
Maruti Suzuki,Alto,VXi,PETROL,MANUAL,796,47,62,2008,2012,10000,12
Maruti Suzuki,Alto,LXi CNG,CNG,MANUAL,796,41,60,2007,2012,10000,12
Maruti Suzuki,Alto,Green LXI,CNG,MANUAL,796,41,60,2010,2012,10000,12

Maruti Suzuki,Alto K10,LXi,PETROL,MANUAL,998,67,90,2010,,10000,12
Maruti Suzuki,Alto K10,VXi,PETROL,MANUAL,998,67,90,2010,,10000,12
Maruti Suzuki,Alto K10,VXi+,PETROL,MANUAL,998,67,90,2022,,10000,12
Maruti Suzuki,Alto K10,VXi AMT,PETROL,AUTOMATIC,998,67,90,2014,,10000,12
Maruti Suzuki,Alto K10,VXi+ AMT,PETROL,AUTOMATIC,998,67,90,2022,,10000,12
Maruti Suzuki,Alto K10,LXi CNG,CNG,MANUAL,998,57,82,2022,,10000,12
Maruti Suzuki,Alto K10,VXi CNG,CNG,MANUAL,998,57,82,2022,,10000,12

Maruti Suzuki,A-Star,LXi,PETROL,MANUAL,998,67,90,2008,2014,10000,12
Maruti Suzuki,A-Star,VXi,PETROL,MANUAL,998,67,90,2008,2014,10000,12
Maruti Suzuki,A-Star,ZXi,PETROL,MANUAL,998,67,90,2008,2014,10000,12
Maruti Suzuki,A-Star,VXi AT,PETROL,AUTOMATIC,998,67,90,2010,2014,10000,12
Maruti Suzuki,A-Star,ZXi AT,PETROL,AUTOMATIC,998,67,90,2010,2014,10000,12

Maruti Suzuki,Celerio,LXi,PETROL,MANUAL,998,67,90,2014,,10000,12
Maruti Suzuki,Celerio,VXi,PETROL,MANUAL,998,67,90,2014,,10000,12
Maruti Suzuki,Celerio,ZXi,PETROL,MANUAL,998,67,90,2014,,10000,12
Maruti Suzuki,Celerio,ZXi+,PETROL,MANUAL,998,67,90,2021,,10000,12
Maruti Suzuki,Celerio,VXi AMT,PETROL,AUTOMATIC,998,67,90,2014,,10000,12
Maruti Suzuki,Celerio,ZXi AMT,PETROL,AUTOMATIC,998,67,90,2014,,10000,12
Maruti Suzuki,Celerio,LXi CNG,CNG,MANUAL,998,57,82,2017,,10000,12
Maruti Suzuki,Celerio,VXi CNG,CNG,MANUAL,998,57,82,2017,,10000,12

Maruti Suzuki,Celerio X,VXi,PETROL,MANUAL,998,67,90,2017,2022,10000,12
Maruti Suzuki,Celerio X,ZXi,PETROL,MANUAL,998,67,90,2017,2022,10000,12
Maruti Suzuki,Celerio X,VXi AMT,PETROL,AUTOMATIC,998,67,90,2017,2022,10000,12
Maruti Suzuki,Celerio X,ZXi AMT,PETROL,AUTOMATIC,998,67,90,2017,2022,10000,12

